Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
28-Jan-19 10:45:00 pm,,33.79,56.31,0.00,61.62
01-Mar-19 1:05:00 am,,33.29,59.30,0.00,64.62
02-May-19 1:40:00 pm,,61.47,72.16,0.00,70.34
09-Jan-19 12:25:01 pm,,,67.25,0.00,66.68
01-Dec-18 5:10:00 am,,35.49,61.74,0.00,63.84
13-Dec-18 3:25:00 am,,32.99,61.97,0.00,64.03
28-Jan-19 3:05:00 pm,,32.91,65.48,0.00,64.87
25-Jan-19 11:20:00 am,,34.33,60.76,0.00,61.88
19-Feb-19 12:30:00 pm,,39.52,70.52,,
29-Apr-19 4:00:00 pm,,35.84,71.66,0.00,71.08
04-May-19 2:35:00 pm,,79.68,72.50,0.00,77.79
03-Jan-19 8:35:00 pm,,34.78,62.81,0.00,66.11
22-Apr-19 3:20:00 pm,,34.11,71.48,0.00,70.68
05-Feb-19 8:30:00 pm,,33.61,59.44,0.00,64.01
23-Jan-19 10:35:01 am,,,,0.00,65.64
09-Jan-19 12:05:00 am,,36.06,61.61,0.00,63.57
17-Nov-18 5:10:00 pm,,35.43,67.00,0.00,64.58
10-Apr-19 12:35:00 am,,35.24,68.52,0.00,69.50
06-Jan-19 10:15:00 am,,34.59,63.16,0.00,63.61
18-Jan-19 9:25:01 pm,,,,0.00,62.82
27-Jan-19 7:10:00 am,,31.42,52.06,0.00,58.35
26-Feb-19 6:50:00 am,,33.26,58.48,0.00,63.43
25-Nov-18 11:20:00 pm,,35.47,60.90,0.00,61.34
21-Mar-19 4:10:00 am,,33.52,66.73,0.00,68.13
02-Apr-19 11:55:00 pm,,35.52,67.23,0.00,68.30
06-Feb-19 3:45:00 am,,35.00,59.37,0.00,63.72
05-Mar-19 10:20:00 am,,46.95,60.18,0.00,67.47
14-May-19 1:00:00 am,,34.70,71.90,0.00,71.96
14-Nov-18 4:55:00 pm,,36.89,67.79,0.00,67.76
